"testID","Instance_number","idNode","x","y","z","h","Cluster"
1,0,22,10,5,11,19,1
1,1,17,13,8,8,59,8
1,2,12,7,2,2,0,10
1,3,5,5,8,14,9,6
1,4,20,12,1,20,56,12
1,5,8,10,6,31,56,4
1,6,9,10,5,11,19,1
1,7,14,0,1,22,9,6
1,8,16,3,13,11,50,5
1,9,14,1,18,28,44,2
1,10,15,15,8,8,59,8
1,11,18,7,10,30,59,4
1,12,3,10,6,30,56,4
1,13,8,1,6,19,19,9
1,14,12,12,0,0,19,3
1,15,21,11,10,26,35,11
1,16,21,5,9,3,9,6
1,17,21,8,2,28,9,0
1,18,7,8,5,19,28,1
1,19,19,4,5,2,50,5
1,20,16,4,20,21,56,2
1,21,6,10,5,19,28,1
1,22,10,2,17,16,9,6
1,23,16,15,12,28,9,11
1,24,17,3,8,20,9,6
1,25,1,0,15,28,28,2
1,26,3,15,0,0,19,3
1,27,0,3,17,30,44,2
1,28,1,10,6,10,19,1
1,29,7,2,13,4,50,5
1,30,22,3,18,28,44,2
1,31,8,11,7,29,56,4
1,32,9,4,6,27,40,4
1,33,1,11,8,27,35,11
1,34,8,5,6,11,50,5
1,35,12,8,7,0,44,7
1,36,9,6,5,27,40,4
1,37,11,15,0,1,19,3
1,38,15,14,13,29,9,11
1,39,11,3,10,24,59,4
1,40,8,3,16,16,9,6
1,41,19,7,2,2,0,10
1,42,8,14,1,0,19,3
1,43,15,4,1,12,19,9
1,44,8,9,5,0,44,7
1,45,13,5,20,21,56,2
1,46,16,9,7,1,44,7
1,47,1,7,2,2,0,10
1,48,2,10,8,27,35,11
1,49,6,13,8,11,59,8
1,50,1,5,9,3,9,6
1,51,6,2,15,31,28,2
1,52,22,14,14,29,9,11
1,53,7,9,6,11,19,1
1,54,17,12,0,20,56,12
1,55,0,15,12,28,9,11
1,56,14,4,8,15,9,6
1,57,11,2,5,16,19,9
1,58,18,4,18,23,56,2
1,59,20,11,6,29,56,4
1,60,3,1,15,27,28,2
1,61,21,1,17,17,9,6
1,62,2,1,18,28,44,2
1,63,14,11,7,29,56,4
1,64,5,12,9,8,59,8
1,65,12,6,8,1,9,10
1,66,18,8,5,1,44,7
1,67,19,8,2,31,9,0
1,68,8,3,19,31,44,2
1,69,7,8,6,3,44,7
1,70,11,6,10,31,59,4
1,71,17,5,9,3,9,6
1,72,1,8,6,3,44,7
1,73,7,2,14,9,50,5
1,74,20,11,7,29,56,4
1,75,9,12,10,31,35,11
1,76,16,8,5,18,28,1
1,77,5,14,1,0,19,3
1,78,3,12,1,20,56,12
1,79,12,9,7,19,28,1
1,80,2,2,11,4,50,5
1,81,13,7,7,19,19,1
1,82,21,4,9,14,9,6
1,83,19,1,16,19,9,6
1,84,9,11,10,26,35,11
1,85,11,3,19,31,44,2
1,86,20,6,9,2,9,10
1,87,4,0,17,28,44,2
1,88,22,2,11,4,50,5
1,89,1,4,19,20,56,2
1,90,5,4,4,2,50,5
1,91,19,12,0,13,9,3
1,92,13,7,2,2,0,10
1,93,7,15,1,20,56,12
1,94,4,1,17,17,9,6
1,95,9,13,8,8,59,8
1,96,0,14,0,21,56,12
1,97,17,4,2,3,0,10
1,98,14,13,6,28,56,4
1,99,7,15,15,28,9,11
1,100,3,1,9,21,9,6
1,101,10,5,3,3,0,10
1,102,12,5,8,14,9,6
1,103,20,11,4,18,28,1
1,104,21,6,5,27,40,4
1,105,17,4,18,23,56,2
1,106,11,5,8,14,9,6
1,107,17,2,11,5,50,5
1,108,19,4,3,2,0,10
1,109,16,6,10,28,59,4
1,110,9,12,0,2,19,3
1,111,15,11,8,27,35,11
1,112,22,9,7,0,44,7
1,113,3,8,7,3,44,7
1,114,0,2,7,19,19,9
1,115,3,6,1,0,0,10
1,116,1,8,6,5,44,7
1,117,2,15,8,8,59,8
1,118,15,2,19,30,44,2
1,119,9,0,1,22,9,6
1,120,16,15,0,0,19,3
1,121,3,8,6,1,44,7
1,122,7,1,17,17,9,6
1,123,13,4,3,2,0,10
1,124,19,3,18,28,44,2
1,125,1,7,10,31,59,4
1,126,9,10,11,25,35,11
1,127,15,15,0,20,56,12
1,128,9,10,5,19,28,1
1,129,22,10,6,30,56,4
1,130,16,10,2,28,9,0
1,131,15,10,6,31,56,4
1,132,9,10,6,10,19,1
1,133,1,8,6,3,44,7
1,134,15,10,5,19,28,1
1,135,8,7,7,13,50,5
1,136,11,7,8,3,9,10
1,137,21,4,2,3,0,10
1,138,11,2,19,31,44,2
1,139,6,7,7,13,50,5
1,140,16,15,0,20,56,12
1,141,12,1,14,29,28,2
1,142,21,7,3,3,0,10
1,143,2,4,7,12,50,5
1,144,20,1,15,31,28,2
1,145,21,3,16,17,9,6
1,146,2,3,7,18,19,9
1,147,11,7,3,14,19,1
1,148,6,3,18,28,44,2
1,149,1,15,11,4,50,8
1,150,3,4,19,20,56,2
1,151,1,15,13,31,9,11
1,152,18,2,10,4,50,5
1,153,14,2,7,18,19,9
1,154,4,2,7,18,19,9
1,155,17,4,19,20,56,2
1,156,0,6,3,14,19,9
1,157,17,3,18,28,44,2
1,158,12,4,20,21,56,2
1,159,7,5,21,21,56,2
1,160,17,4,8,15,9,6
1,161,5,5,10,2,9,6
1,162,20,7,8,3,9,10
1,163,10,10,6,10,19,1
1,164,11,4,8,15,9,6
1,165,6,6,8,31,59,4
1,166,10,5,8,1,9,10
1,167,19,3,15,11,50,5
1,168,18,12,9,0,50,8
1,169,15,2,14,9,50,5
1,170,5,9,6,10,19,1
1,171,18,12,0,0,19,3
1,172,20,4,10,12,9,6
1,173,13,10,6,31,56,4
1,174,22,5,20,20,56,2
1,175,22,8,5,1,44,7
1,176,20,1,9,21,9,6
1,177,11,14,13,29,9,11
1,178,8,4,18,23,56,2
1,179,0,12,8,12,59,8
1,180,1,4,10,12,9,6
1,181,9,3,17,17,9,6
1,182,13,8,2,29,9,0
1,183,12,14,1,0,19,3
1,184,9,9,6,14,19,1
1,185,16,7,8,31,59,4
1,186,4,4,9,15,9,6
1,187,0,7,7,13,50,5
1,188,12,3,8,0,50,5
1,189,1,8,6,1,44,7
1,190,8,9,9,26,35,11
1,191,18,11,7,31,56,4
1,192,1,3,18,30,44,2
1,193,6,8,5,0,44,7
1,194,0,6,1,2,0,10
1,195,10,11,8,27,35,11
1,196,19,15,12,28,9,11
1,197,20,14,12,29,9,11
1,198,11,4,20,21,56,2
1,199,16,8,6,0,44,7
1,200,17,1,12,30,28,2
1,201,8,7,8,3,9,10
1,202,14,8,6,1,44,7
1,203,16,15,2,20,56,12
1,204,7,15,2,20,56,12
1,205,14,11,10,26,35,11
1,206,1,6,2,3,0,10
1,207,6,0,19,28,44,2
1,208,22,13,8,22,50,12
1,209,19,12,1,20,56,12
1,210,19,6,6,27,40,4
1,211,6,8,6,0,44,7
1,212,19,15,14,28,9,11
1,213,21,0,7,10,50,5
1,214,0,8,6,11,19,1
1,215,16,5,21,21,56,2
1,216,14,8,5,19,28,1
1,217,2,1,18,28,44,2
1,218,11,4,19,20,56,2
1,219,4,1,8,23,9,6
1,220,2,15,3,13,9,3
1,221,12,4,9,14,9,6
1,222,20,4,5,0,50,5
1,223,20,4,8,15,9,6
1,224,13,11,6,28,56,4
1,225,16,6,8,31,59,4
1,226,1,5,18,21,56,2
1,227,7,12,2,23,56,12
1,228,11,5,8,1,9,10
1,229,9,2,11,4,50,5
1,230,12,4,18,23,56,2
1,231,20,7,2,15,19,1
1,232,4,4,2,3,0,10
1,233,20,7,2,2,0,10
1,234,10,8,2,29,9,0
1,235,17,12,8,10,59,8
1,236,5,14,0,13,9,3
1,237,14,3,8,20,9,6
1,238,0,2,15,31,28,2
1,239,19,4,4,2,50,5
1,240,16,7,9,2,9,10
1,241,18,11,7,11,19,1
1,242,0,8,5,19,28,1
1,243,2,11,4,18,28,1
1,244,15,2,7,18,19,9
1,245,10,4,11,12,9,6
1,246,13,14,1,0,19,3
1,247,3,7,9,31,59,4
1,248,19,4,10,12,9,6
1,249,7,11,7,11,19,1
1,250,11,6,1,0,0,10
1,251,5,6,1,0,0,10
1,252,19,13,9,10,59,8
1,253,4,5,4,2,50,5
1,254,18,13,8,11,59,8
1,255,5,8,7,0,44,7
1,256,17,13,8,11,59,8
1,257,13,11,5,19,28,1
1,258,18,7,8,30,59,4
1,259,5,2,19,30,44,2
1,260,12,8,5,1,44,7
1,261,18,3,19,30,44,2
1,262,13,15,0,0,19,3
1,263,19,7,9,30,59,4
1,264,7,3,10,24,59,4
1,265,11,8,2,31,9,0
1,266,2,3,18,30,44,2
1,267,11,2,11,4,50,5
1,268,1,3,19,31,44,2
1,269,8,8,5,18,28,1
1,270,18,1,16,19,9,6
1,271,14,15,10,4,50,8
1,272,15,3,19,30,44,2
1,273,4,6,2,3,0,10
1,274,14,1,15,31,28,2
1,275,16,15,0,0,19,3
1,276,15,8,6,5,44,7
1,277,21,11,7,31,56,4
1,278,11,5,5,25,40,4
1,279,9,6,3,14,19,9
1,280,3,8,7,10,19,1
1,281,6,15,0,20,56,12
1,282,15,1,17,17,9,6
1,283,17,8,5,0,44,7
1,284,2,15,15,28,9,11
1,285,20,6,10,29,59,4
1,286,16,11,8,27,35,11
1,287,8,7,2,2,0,10
1,288,0,12,0,20,56,12
1,289,20,4,18,23,56,2
1,290,22,10,6,30,56,4
1,291,1,6,2,14,19,9
1,292,2,0,19,28,44,2
1,293,17,11,6,29,56,4
1,294,9,7,3,14,19,1
1,295,13,3,17,18,9,6
1,296,21,3,18,30,44,2
1,297,3,2,19,31,44,2
1,298,9,7,2,2,0,10
1,299,10,6,5,26,40,4
1,300,1,6,2,3,0,10
1,301,0,15,1,20,56,12
1,302,5,3,17,30,44,2
1,303,19,11,8,27,35,11
1,304,2,0,19,28,44,2
1,305,3,1,15,31,28,2
1,306,11,15,0,20,56,12
1,307,8,10,6,30,56,4
1,308,11,3,18,30,44,2
1,309,6,11,6,11,19,1
1,310,22,4,3,2,0,10
1,311,5,4,3,12,19,9
1,312,13,15,13,31,9,11
1,313,19,9,3,16,28,1
1,314,0,8,6,3,44,7
1,315,2,8,6,1,44,7
1,316,6,7,19,27,44,2
1,317,0,5,4,2,50,5
1,318,2,1,6,19,19,9
1,319,14,13,8,8,59,8
1,320,15,6,9,2,9,10
1,321,13,2,11,5,50,5
1,322,17,11,4,18,28,1
1,323,14,15,0,1,19,3
1,324,12,4,21,21,56,2
1,325,14,9,9,26,35,11
1,326,4,13,9,10,59,8
1,327,21,13,6,28,56,4
1,328,0,6,11,29,59,4
1,329,0,9,5,0,44,7
1,330,16,12,8,12,59,8
1,331,4,8,6,5,44,7
1,332,12,8,7,19,28,1
1,333,15,7,2,2,0,10
1,334,8,3,19,29,44,2
1,335,16,4,7,12,50,5
1,336,15,11,4,18,28,1
1,337,14,14,8,19,50,12
1,338,8,7,9,30,59,4
1,339,1,8,5,18,28,1
1,340,0,1,17,17,9,6
1,341,21,13,9,19,50,12
1,342,11,15,0,0,19,3
1,343,7,1,9,22,9,6
1,344,10,6,10,31,59,4
1,345,6,11,6,29,56,4
1,346,7,11,7,29,56,4
1,347,14,8,4,19,28,1
1,348,10,4,7,12,50,5
1,349,13,8,5,19,28,1
1,350,22,8,5,0,44,7
1,351,19,15,0,0,19,3
1,352,13,11,4,18,28,1
1,353,16,6,2,15,19,9
1,354,15,13,0,21,56,12
1,355,5,1,14,29,28,2
1,356,19,5,9,3,9,6
1,357,4,8,12,19,28,1
1,358,18,14,9,4,50,8
1,359,12,5,11,15,9,6
1,360,7,4,8,1,9,6
1,361,10,9,7,1,44,7
1,362,5,3,17,18,9,6
1,363,5,0,1,22,9,6
1,364,22,4,2,3,0,10
1,365,0,13,9,9,59,8
1,366,3,5,8,14,9,6
1,367,2,3,19,29,44,2
1,368,4,5,19,23,56,2
1,369,21,8,12,19,28,1
1,370,8,6,8,31,59,4
1,371,12,6,7,27,40,4
1,372,17,1,9,21,9,6
1,373,5,3,17,30,44,2
1,374,20,8,6,3,44,7
1,375,0,14,13,29,9,11
1,376,10,10,6,31,56,4
1,377,20,3,10,24,59,4
1,378,11,7,10,31,59,4
1,379,20,15,0,0,19,3
1,380,1,6,5,27,40,4
1,381,5,6,0,2,0,10
1,382,0,10,7,31,56,4
1,383,0,2,3,18,19,9
1,384,1,13,8,8,59,8
1,385,13,11,10,26,35,11
1,386,21,15,13,31,9,11
1,387,10,12,9,0,50,8
1,388,12,10,6,30,56,4
1,389,18,4,5,2,50,5
1,390,13,12,8,22,50,12
1,391,22,7,19,27,44,2
1,392,21,12,8,10,59,8
1,393,5,13,1,21,56,12
1,394,10,15,8,8,59,8
1,395,11,1,16,18,9,6
1,396,12,7,7,13,50,5
1,397,4,0,14,29,28,2
1,398,0,8,7,0,44,7
1,399,18,4,4,3,50,5
1,400,7,7,2,15,19,1
1,401,3,6,2,14,19,9
1,402,18,1,16,18,9,6
1,403,9,14,13,29,9,11
1,404,16,2,17,19,9,6
1,405,22,6,3,14,19,9
1,406,22,7,10,28,59,4
1,407,21,3,8,20,9,6
1,408,5,13,0,21,56,12
1,409,7,3,14,8,50,5
1,410,21,8,7,10,19,1
1,411,10,10,6,30,56,4
1,412,0,12,2,20,56,12
1,413,20,7,4,20,19,1
1,414,9,0,3,25,9,6
1,415,20,0,15,28,28,2
1,416,14,4,2,14,19,9
1,417,14,11,11,27,35,11
1,418,0,6,6,27,40,4
1,419,10,0,13,16,9,6
1,420,21,12,9,0,50,8
1,421,5,5,9,3,9,6
1,422,22,3,17,18,9,6
1,423,5,2,19,30,44,2
1,424,22,7,9,30,59,4
1,425,3,2,7,17,19,9
1,426,11,8,4,19,28,1
1,427,13,3,17,17,9,6
1,428,9,4,9,14,9,6
1,429,2,4,3,2,0,10
1,430,3,12,2,23,56,12
1,431,1,13,6,28,56,4
1,432,1,8,2,29,9,0
1,433,16,8,6,11,19,1
1,434,7,5,11,15,9,6
1,435,11,7,10,31,59,4
1,436,17,5,9,2,9,10
1,437,0,4,6,11,50,5
1,438,1,3,18,30,44,2
1,439,5,9,6,1,44,7
1,440,15,2,17,19,9,6
1,441,11,4,3,12,19,9
1,442,11,10,11,25,35,11
1,443,18,4,4,2,50,5
1,444,16,9,6,10,19,1
1,445,7,15,14,28,9,11
1,446,7,0,17,28,44,2
1,447,8,4,19,20,56,2
1,448,20,8,7,3,44,7
1,449,8,8,7,10,19,1
1,450,21,2,13,5,50,5
1,451,3,14,1,0,19,3
1,452,2,8,5,0,44,7
1,453,9,9,3,31,9,0
1,454,9,3,18,28,44,2
1,455,13,11,11,27,35,11
1,456,17,2,5,16,19,9
1,457,11,8,5,0,44,7
1,458,16,13,2,20,56,12
1,459,5,7,2,15,19,1
1,460,14,1,17,17,9,6
1,461,19,4,21,21,56,2
1,462,13,14,14,29,9,11
1,463,17,13,1,21,56,12
1,464,5,11,6,18,28,1
1,465,16,11,2,28,9,0
1,466,7,11,4,18,28,1
1,467,13,14,0,20,56,12
1,468,18,15,0,1,19,3
1,469,4,4,9,14,9,6
1,470,0,4,9,14,9,6
1,471,19,10,11,25,35,11
1,472,15,5,9,3,9,6
1,473,20,10,11,26,35,11
1,474,16,2,7,18,19,9
1,475,10,12,0,0,19,3
1,476,3,4,21,21,56,2
1,477,5,12,2,20,56,12
1,478,22,13,1,21,56,12
1,479,11,14,2,2,19,3
1,480,1,10,5,19,28,1
1,481,22,2,7,19,19,9
1,482,21,8,8,26,35,4
1,483,13,12,2,20,56,12
1,484,7,4,21,21,56,2
1,485,3,10,6,31,56,4
1,486,4,6,2,3,0,10
1,487,19,9,5,0,44,7
1,488,11,12,1,2,19,3
1,489,12,15,12,28,9,11
1,490,6,11,10,26,35,11
1,491,12,13,2,20,56,12
1,492,6,3,19,31,44,2
1,493,17,5,5,25,40,4
1,494,20,8,7,1,44,7
1,495,5,12,8,10,59,8
1,496,11,11,8,27,35,11
1,497,19,12,8,12,59,8
1,498,20,2,14,9,50,5
1,499,10,8,5,0,44,7
1,500,15,1,15,27,28,2
1,501,19,11,5,19,28,1
1,502,0,5,8,14,9,6
1,503,6,5,21,21,56,2
1,504,2,4,18,23,56,2
1,505,12,11,10,26,35,11
1,506,8,14,0,21,56,12
1,507,19,3,13,5,50,5
1,508,18,7,7,5,50,5
1,509,9,6,2,15,19,9
1,510,5,13,8,8,59,8
1,511,4,4,3,2,0,10
1,512,8,3,17,30,44,2
1,513,1,7,9,30,59,4
1,514,12,1,6,19,19,9
1,515,7,4,11,12,9,6
1,516,14,5,8,14,9,6
1,517,11,13,1,2,19,3
1,518,3,6,3,0,0,10
1,519,17,2,14,9,50,5
1,520,18,12,2,20,56,12
1,521,10,9,6,11,19,1
1,522,3,11,9,27,35,11
1,523,3,4,6,11,50,5
1,524,1,11,4,10,19,1
1,525,20,4,2,15,19,9
1,526,18,6,11,29,59,4
1,527,9,13,8,8,59,8
1,528,10,4,3,2,0,10
1,529,13,11,4,11,19,1
1,530,8,8,7,1,44,7
1,531,14,4,6,27,40,4
1,532,19,5,19,20,56,2
1,533,7,2,11,5,50,5
1,534,12,3,17,30,44,2
1,535,14,7,5,26,40,4
1,536,4,8,6,1,44,7
1,537,10,15,14,28,9,11
1,538,5,6,5,26,40,4
1,539,3,6,2,15,19,9
1,540,1,11,4,11,19,1
